date,total_population,total_vaccinated,new_vaccinated,vaccinated_percentage,fully_vaccinated,new_fully_vaccinated,fully_vaccinated_percentage
2022-02-13,41130000,15577692,5658,037.87 %,14958214,8981,036.37 %
2022-02-14,41130000,15594936,17244,037.92 %,14985576,27362,036.43 %
2022-02-15,41130000,15613183,18247,037.96 %,15014883,29307,036.51 %
2022-02-16,41130000,15628987,15804,038.00 %,15041076,26193,036.57 %
2022-02-17,41130000,15649483,20496,038.05 %,15071517,30441,036.64 %
2022-02-18,41130000,15667266,17783,038.09 %,15100993,29476,036.71 %
2022-02-19,41130000,15675592,8326,038.11 %,15114034,13041,036.75 %
2022-02-20,41130000,15680361,4769,038.12 %,15121999,7965,036.77 %
2022-02-21,41130000,15695804,15443,038.16 %,15148026,26027,036.83 %
2022-02-22,41130000,15712648,16844,038.20 %,15175097,27071,036.90 %
2022-02-23,41130000,15729617,16969,038.24 %,15201112,26015,036.96 %
