date,total_population,total_infected,new_infection_cases,total_death,new_death_cases,total_recovered,new_recovered_cases,stil_infected
2021-02-19,415548000,1293672,6531,24972,120,1139977,5857,128723
2021-02-20,415548000,1299967,6295,25045,73,1144516,4539,130406
2021-02-21,415548000,1304456,4489,25103,58,1146073,1557,133280
2021-02-22,415548000,1307662,3206,25156,53,1147426,1353,135080
2021-02-23,415548000,1311844,4182,25309,153,1151777,4351,134758
2021-02-24,415548000,1317694,5850,25461,152,1155422,3645,136811
2021-02-25,415548000,1325841,8147,25596,135,1159311,3889,140934
2021-02-26,415548000,1333844,8003,25742,146,1163555,4244,144547
2021-02-27,415548000,1342016,8172,25893,151,1168321,4766,147802
2021-02-28,415548000,1347849,5833,25982,89,1170023,1702,151844
2021-03-01,415272000,1352134,4285,26050,68,1171724,1701,154360
2021-03-02,415272000,1357470,5336,26212,162,1176918,5194,154340
2021-03-03,415272000,1364705,7235,26397,185,1182036,5118,156272
2021-03-04,415272000,1374762,10057,26591,194,1186873,4837,161298
2021-03-05,415272000,1384917,10155,26763,172,1191022,4149,167132
2021-03-06,415272000,1394061,9144,26919,156,1194373,3351,172769
2021-03-07,415272000,1401228,7167,27022,103,1196520,2147,177686
2021-03-08,415272000,1406800,5572,27128,106,1198254,1734,181418
2021-03-09,415272000,1410061,3261,27204,76,1199229,975,183628
2021-03-10,415272000,1416438,6377,27423,219,1204916,5687,184099
2021-03-11,415272000,1425522,9084,27685,262,1210246,5330,187591
2021-03-12,415272000,1438468,12946,27915,230,1214876,4630,195677
2021-03-13,415272000,1451744,13276,28158,243,1219773,4897,203813
2021-03-14,415272000,1460756,9012,28303,145,1222516,2743,209937
2021-03-15,415272000,1467548,6792,28433,130,1226007,3491,213108
2021-03-16,415272000,1477190,9642,28697,264,1232209,6202,216284
2021-03-17,415272000,1489023,11833,28986,289,1237676,5467,222361
2021-03-18,415272000,1504076,15053,29253,267,1244190,6514,230633
2021-03-19,415272000,1519926,15850,29515,262,1248782,4592,241629
2021-03-20,415272000,1535218,15292,29775,260,1253972,5190,251471
2021-03-21,415272000,1546363,11145,29941,166,1257849,3877,258573
2021-03-22,415272000,1554256,7893,30098,157,1260842,2993,263316
2021-03-23,415272000,1565732,11476,30431,333,1268886,8044,266415
2021-03-24,415272000,1579906,14174,30773,342,1276272,7386,272861
2021-03-25,415272000,1596575,16669,31135,362,1283020,6748,282420
2021-03-26,415272000,1614707,18132,31461,326,1290158,7138,293088
2021-03-27,415272000,1632131,17424,31751,290,1297282,7124,303098
2021-03-28,415272000,1644063,11932,31954,203,1300625,3343,311484
2021-03-29,415272000,1652409,8346,32132,178,1303500,2875,316777
2021-03-30,415272000,1662942,10533,32418,286,1307076,3576,323448
2021-03-31,415272000,1674168,11226,32825,407,1313481,6405,327862
2021-04-01,414880000,1691737,17569,33246,421,1323083,9602,335408
2021-04-02,414880000,1711630,19893,33679,433,1333370,10287,344581
2021-04-03,414880000,1731971,20341,34075,396,1342536,9166,355360
2021-04-04,414880000,1745709,13738,34333,258,1347193,4657,364183
2021-04-05,414880000,1755888,10179,34587,254,1352139,4946,369162
2021-04-06,414880000,1769164,13276,35017,430,1362379,10240,371768
2021-04-07,414880000,1784579,15415,35498,481,1373851,11472,375230
2021-04-08,414880000,1803998,19419,35962,464,1383883,10032,384153
2021-04-09,414880000,1823674,19676,36381,419,1395104,11221,392189
2021-04-10,414880000,1841137,17463,36779,398,1405826,10722,398532
2021-04-11,414880000,1853249,12112,37014,235,1410860,5034,405375
2021-04-12,414880000,1861105,7856,37301,287,1416215,5355,407589
2021-04-13,414880000,1872785,11680,37758,457,1430234,14019,404793
2021-04-14,414880000,1887338,14553,38225,467,1442618,12384,406495
2021-04-15,414880000,1903765,16427,38658,433,1453766,11148,411341
2021-04-16,414880000,1921244,17479,39096,438,1465820,12054,416328
2021-04-17,414880000,1936228,14984,39536,440,1475556,9736,421136
2021-04-18,414880000,1946510,10282,39786,250,1482079,6523,424645
2021-04-19,414880000,1953016,6506,40000,214,1487677,5598,425339
2021-04-20,414880000,1961956,8940,40367,367,1499752,12075,421837
2021-04-21,414880000,1974118,12162,40796,429,1514472,14720,418850
