date,total_population,total_vaccinated,new_vaccinated,vaccinated_percentage,fully_vaccinated,new_fully_vaccinated,fully_vaccinated_percentage
2021-07-18,1141000,63640,703,005.58 %,37603,45,003.30 %
2021-07-19,1141000,64094,454,005.62 %,38586,983,003.38 %
2021-07-20,1141000,65234,1140,005.72 %,39291,705,003.44 %
2021-07-21,1141000,66359,1125,005.82 %,40425,1134,003.54 %
2021-07-22,1141000,67422,1063,005.91 %,41897,1472,003.67 %
2021-07-23,1141000,68986,1564,006.05 %,43788,1891,003.84 %
2021-07-24,1141000,69693,707,006.11 %,43747,-41,003.83 %
2021-07-25,1141000,70176,483,006.15 %,43788,41,003.84 %
2021-07-26,1141000,71333,1157,006.25 %,45106,1318,003.95 %
2021-07-27,1141000,73019,1686,006.40 %,47082,1976,004.13 %
2021-07-28,1141000,74556,1537,006.53 %,48499,1417,004.25 %
2021-07-29,1141000,76112,1556,006.67 %,50292,1793,004.41 %
2021-07-30,1141000,77727,1615,006.81 %,52093,1801,004.57 %
2021-07-31,1141000,78169,442,006.85 %,52644,551,004.61 %
2021-08-01,1141000,78487,318,006.88 %,52719,75,004.62 %
2021-08-02,1141000,79878,1391,007.00 %,53368,649,004.68 %
2021-08-03,1141000,81690,1812,007.16 %,54367,999,004.77 %
2021-08-04,1141000,83208,1518,007.29 %,55177,810,004.84 %
2021-08-05,1141000,84882,1674,007.44 %,56092,915,004.92 %
2021-08-06,1141000,86577,1695,007.59 %,57202,1110,005.01 %
2021-08-07,1141000,87540,963,007.67 %,57505,303,005.04 %
2021-08-08,1141000,87959,419,007.71 %,58097,592,005.09 %
2021-08-09,1141000,89313,1354,007.83 %,59228,1131,005.19 %
2021-08-10,1141000,91444,2131,008.02 %,60824,1596,005.33 %
2021-08-11,1141000,93593,2149,008.20 %,62171,1347,005.45 %
2021-08-12,1141000,95821,2228,008.40 %,63472,1301,005.56 %
2021-08-13,1141000,98022,2201,008.59 %,64808,1336,005.68 %
2021-08-14,1141000,99317,1295,008.71 %,65073,265,005.70 %
2021-08-15,1141000,99778,461,008.75 %,65695,622,005.76 %
2021-08-16,1141000,100844,1066,008.84 %,66706,1011,005.85 %
2021-08-17,1141000,102818,1974,009.01 %,67563,857,005.92 %
2021-08-18,1141000,104621,1803,009.17 %,68485,922,006.00 %
2021-08-19,1141000,105771,1150,009.27 %,69355,870,006.08 %
2021-08-20,1141000,107421,1650,009.42 %,70398,1043,006.17 %
2021-08-21,1141000,107924,503,009.46 %,70901,503,006.21 %
2021-08-22,1141000,108155,231,009.48 %,71596,695,006.28 %
2021-08-23,1141000,109064,909,009.56 %,72388,792,006.34 %
2021-08-24,1141000,109202,138,009.57 %,72867,479,006.39 %
2021-08-25,1141000,110547,1345,009.69 %,74338,1471,006.52 %
2021-08-26,1141000,111862,1315,009.80 %,76403,2065,006.70 %
2021-08-27,1141000,113264,1402,009.93 %,78353,1950,006.87 %
2021-08-28,1141000,113840,576,009.98 %,78876,523,006.91 %
2021-08-29,1141000,114091,251,010.00 %,79381,505,006.96 %
2021-08-30,1141000,115533,1442,010.13 %,81572,2191,007.15 %
2021-08-31,1141000,117044,1511,010.26 %,83742,2170,007.34 %
2021-09-01,1141000,117741,697,010.32 %,85104,1362,007.46 %
2021-09-02,1141000,118764,1023,010.41 %,87080,1976,007.63 %
2021-09-03,1141000,119669,905,010.49 %,89406,2326,007.84 %
2021-09-04,1141000,120060,391,010.52 %,90062,656,007.89 %
2021-09-05,1141000,120484,424,010.56 %,90709,647,007.95 %
2021-09-06,1141000,121192,708,010.62 %,92579,1870,008.11 %
2021-09-07,1141000,122163,971,010.71 %,95082,2503,008.33 %
2021-09-08,1141000,123128,965,010.79 %,97196,2114,008.52 %
2021-09-09,1141000,124320,1192,010.90 %,99400,2204,008.71 %
2021-09-10,1141000,125528,1208,011.00 %,101367,1967,008.88 %
2021-09-11,1141000,125800,272,011.03 %,102120,753,008.95 %
2021-09-12,1141000,126169,369,011.06 %,102837,717,009.01 %
2021-09-13,1141000,127086,917,011.14 %,104453,1616,009.16 %
2021-09-14,1141000,128156,1070,011.23 %,105918,1465,009.28 %
2021-09-15,1141000,129669,1513,011.37 %,107334,1416,009.41 %
2021-09-16,1141000,130834,1165,011.47 %,108425,1091,009.50 %
2021-09-17,1141000,132437,1603,011.61 %,109484,1059,009.60 %
2021-09-18,1141000,133013,576,011.66 %,109954,470,009.64 %
2021-09-19,1141000,133571,558,011.71 %,110462,508,009.68 %
2021-09-20,1141000,134889,1318,011.82 %,111336,874,009.76 %
2021-09-21,1141000,136833,1944,011.99 %,112226,890,009.84 %
2021-09-22,1141000,140036,3203,012.27 %,113140,914,009.92 %
2021-09-23,1141000,143002,2966,012.53 %,114664,1524,010.05 %
2021-09-24,1141000,145548,2546,012.76 %,115796,1132,010.15 %
2021-09-25,1141000,146213,665,012.82 %,116210,414,010.19 %
2021-09-26,1141000,146890,677,012.87 %,116645,435,010.22 %
2021-09-27,1141000,148596,1706,013.02 %,117544,899,010.30 %
2021-09-28,1141000,150349,1753,013.18 %,118524,980,010.39 %
2021-09-29,1141000,152088,1739,013.33 %,119705,1181,010.49 %
2021-09-30,1141000,153596,1508,013.46 %,120770,1065,010.59 %
2021-10-01,1141000,155282,1686,013.61 %,121716,946,010.67 %
2021-10-02,1141000,155716,434,013.65 %,122286,570,010.72 %
2021-10-03,1141000,156227,511,013.69 %,122825,539,010.77 %
2021-10-04,1141000,157343,1116,013.79 %,123784,959,010.85 %
2021-10-05,1141000,158506,1163,013.89 %,124883,1099,010.95 %
2021-10-06,1141000,159611,1105,013.99 %,126197,1314,011.06 %
2021-10-07,1141000,160851,1240,014.10 %,127540,1343,011.18 %
2021-10-08,1141000,162602,1751,014.25 %,129186,1646,011.32 %
2021-10-09,1141000,163325,723,014.32 %,129824,638,011.38 %
2021-10-10,1141000,164068,743,014.38 %,130713,889,011.46 %
2021-10-11,1141000,165878,1810,014.54 %,132605,1892,011.62 %
2021-10-12,1141000,167883,2005,014.71 %,134707,2102,011.81 %
2021-10-13,1141000,169616,1733,014.87 %,137006,2299,012.01 %
2021-10-14,1141000,170194,578,014.92 %,137524,518,012.05 %
2021-10-15,1141000,172563,2369,015.13 %,139808,2284,012.25 %
2021-10-16,1141000,173549,986,015.21 %,140514,706,012.32 %
2021-10-17,1141000,174291,742,015.28 %,141138,624,012.37 %
2021-10-18,1141000,176473,2182,015.47 %,142800,1662,012.52 %
2021-10-19,1141000,179488,3015,015.73 %,145422,2622,012.75 %
2021-10-20,1141000,182452,2964,015.99 %,147807,2385,012.96 %
2021-10-21,1141000,186264,3812,016.33 %,150020,2213,013.15 %
2021-10-22,1141000,191404,5140,016.78 %,152095,2075,013.33 %
2021-10-23,1141000,193927,2523,017.00 %,153156,1061,013.42 %
2021-10-24,1141000,196354,2427,017.21 %,154231,1075,013.52 %
2021-10-25,1141000,202055,5701,017.71 %,156178,1947,013.69 %
2021-10-26,1141000,211505,9450,018.54 %,158641,2463,013.90 %
2021-10-27,1141000,218848,7343,019.18 %,161073,2432,014.12 %
2021-10-28,1141000,226303,7455,019.84 %,164981,3908,014.46 %
2021-10-29,1141000,232847,6544,020.41 %,166908,1927,014.63 %
2021-10-30,1141000,237042,4195,020.78 %,168380,1472,014.76 %
2021-10-31,1141000,239889,2847,021.03 %,170299,1919,014.93 %
2021-11-01,1141000,246487,6598,021.60 %,172100,1801,015.08 %
2021-11-02,1141000,253597,7110,022.23 %,174234,2134,015.27 %
2021-11-03,1141000,260866,7269,022.86 %,176640,2406,015.48 %
2021-11-04,1141000,260866,,022.86 %,176640,,015.48 %
2021-11-05,1141000,272611,11745,023.89 %,181173,4533,015.88 %
2021-11-06,1141000,274075,1464,024.02 %,182061,888,015.96 %
2021-11-07,1141000,275538,1463,024.15 %,183361,1300,016.07 %
2021-11-08,1141000,279082,3544,024.46 %,186549,3188,016.35 %
2021-11-09,1141000,283303,4221,024.83 %,189481,2932,016.61 %
2021-11-10,1141000,287462,4159,025.20 %,192757,3276,016.90 %
2021-11-11,1141000,290926,3464,025.50 %,196030,3273,017.18 %
2021-11-12,1141000,293641,2715,025.74 %,200734,4704,017.59 %
2021-11-13,1141000,294995,1354,025.86 %,202480,1746,017.75 %
2021-11-14,1141000,296557,1562,025.99 %,204671,2191,017.94 %
